336,久見,kiú-kiàn,,
337,山谷,suann-kok,,
338,川芎,tshuan-kiong,,
339,川貝,tshuan-puè,,
340,干貝,kan-puè,,
341,千里眼,Tshian-lí-gán,,
342,三角窗,sann-kak-thang,,
343,三角褲,sann-kak-khòo,,
344,千里鏡,tshian-lí-kiànn,,
345,久來,kú--lâi,,
346,口供,kháu-king,,
347,大使,tāi-sài,,
348,小事,sió-sū,,
349,小使,siáu-sú,,
350,工事,kang-sū,,
351,女兒,lú-jî/lú-lî,,
352,小叔,sió-tsik,,
353,小管仔,sió-kńg-á,,
354,小兒科,sió-jî-kho/sió-lî-kho,,
355,小兒麻痺,sió-jî-bâ-pì/sió-lî-bâ-pì,,
356,山坪,suann-phiânn,,
357,丈姆,tiūnn-ḿ,,
358,大姆,tuā-ḿ,,
359,大姊,tuā-tsí,,
360,大姑,tuā-koo,,
361,小妹,sió-muē/sió-bē,,
362,小姐,sió-tsiá,,
363,小姑,sió-koo,,
364,丈姆婆,tiūnn-ḿ-pô,,
365,下底,ē-té/ē-tué,,
366,大官,ta-kuann,,
367,大官虎,tuā-kuann-hóo,,
368,土性,thóo-sìng,,
369,下性命,hē-sènn-miā/hē-sìnn-miā,,
370,大房,tuā-pâng,,
371,大拖,tuā-thua,,
372,下昏,e-hng,,
373,山東白仔,suann-tang-pe̍h-á,,
374,下昏暗,e-hng-àm,,
375,乞的,khit--ê,,
376,土直,thóo-ti̍t,,
377,三肢手,sann-ki-tshiú,,
378,久長,kú-tn̂g,,
379,千金,tshian-kim,,
380,三長兩短,sann-tn̂g-nn̄g-té,,
381,上青苔,tshiūnn-tshenn-thî/tshiūnn-tshinn-thî,,
382,久長病,kú-tn̂g-pēnn/kú-tn̂g-pīnn,,
383,千金譜,tshian-kim-phóo,,
384,大便,tāi-piān,,
385,大前年,tuā-tsûn--nî,,
386,大姨,tuā-î,,
387,上帝,Siōng-tè,,
388,上帝公,Siōng-tè-kong,,
389,三思,sàm-su,,
390,大後日,tuā-āu--ji̍t/tuā-āu--li̍t,,
391,大後年,tuā-āu--nî,,
392,山後鳥,suann-āu-tsiáu,,
393,也是,iā-sī,,
394,才是,tsiah-sī,,
395,大昨日,tuā-tso̍h--ji̍t/tuā-tso̍h--li̍t,,
396,大某,tuā-bóo,,
397,山洞,suann-tōng,,
398,三牲,sam-sing,,
399,三界公,Sam-kài-kong,,
400,三界娘仔,sam-kài-niû-á,,
401,山珍海味,san-tin-hái-bī,,
402,山苳蒿,suann-tang-o,,
403,低音,kē-im,,
404,乞食,khit-tsia̍h,,
405,口面,kháu-bīn,,
406,口音,kháu-im,,
407,乞食命,khit-tsia̍h-miā,,
408,大面神,tuā-bīn-sîn,,
409,乞食琴,khit-tsia̍h-khîm,,
410,乞食頭,khit-tsia̍h-thâu,,
411,土匪,thóo-huí,,
412,大厝,tuā-tshù,,
413,大哥,tuā-ko,,
414,低厝仔,kē-tshù-á,,
415,大娘姑,tuā-niû-koo,,
416,口座,kháu-tsō,,
417,土師,thóo-sai,,
418,大孫,tuā-sun,,
419,大家,ta-ke,,
420,子宮,tsú-kiong,,
421,山崁,suann-khàm,,
422,大家口,tuā-ke-kháu,,
423,大家官,ta-ke-kuann,,
424,子時,tsú-sî,,
425,上桌,tsiūnn-toh,,
426,口氣,kháu-khì,,
427,大氣,tāi-khì,,
428,大氣,tuā-khuì,,
429,大氣喘,tuā-khuì-tshuán,,
430,干涉,kan-sia̍p,,
431,低級,kē-kip,,
432,大陣,tuā tīn,,
433,小鬼仔殼,siáu-kuí-á-khak,,
434,三除四扣,sann-tû-sì-khàu,,
435,上崎,tsiūnn-kiā,,
436,山崙,suann-lūn,,
437,才情,tsâi-tsîng,,
438,三教,sam-kàu,,
439,下晝,ē-tàu,,
440,下晡,ē-poo,,
441,小票,sió-phiò,,
442,三絃,sam-hiân,,
443,大細,tuā-sè/tuā-suè,,
444,大細心,tuā-sè-sim/tuā-suè-sim,,
445,大細目,tuā-sè-ba̍k/tuā-suè-ba̍k,,
446,山頂,suann-tíng,,
447,工場,kang-tiûnn,,
448,大富,tuā-pù,,
449,大寒,tuā-kuânn,,
450,大富大貴,tuā-hù-tuā-kuì,,
451,大摒掃,tuā-piànn-sàu,,
452,上殕,tshiūnn-phú,,
453,下港,ē-káng,,
454,大港,tuā-káng,,
455,大湧,tuā-íng,,
456,干焦,kan-na,,
457,下痟,hā-siau,,
458,口琴,kháu-khîm,,
459,工程,kang-tîng,,
460,工程師,kang-tîng-su,,
461,上等,siōng-tíng,,
462,大筒,tuā-tâng,,
463,小等,sió-tán,,
464,土菝仔,thóo-pua̍t-á,,
465,上訴,siōng-sòo,,
467,大量,tāi-liōng,,
468,弓開,king--khui,,
469,凡勢,huān-sè,,
470,山勢,suann-sè,,
471,土想,thóo-siūnn,,
472,下暗,e-àm,,
473,工會,kang-huē,,
474,工業,kang-gia̍p,,
475,才會,tsiah ē,,
476,山溝,suann-kau,,
477,山盟海誓,san-bîng-hái-sè,,
478,下落,hē-lo̍h,,
479,千萬,tshian-bān,,
480,大腸,tuā-tn̂g,,
481,大舅,tuā-kū,,
482,小腸,sió-tn̂g,,
483,山腰,suann-io,,
484,大腹肚,tuā-pak-tóo,,
485,口試,kháu-tshì,,
486,下跤,ē-kha,,
487,土話,thóo-uē,,
488,大話,tuā-uē,,
489,山貉,suann-hô,,
490,山賊,suann-tsha̍t,,
491,山跤,suann-kha,,
492,下跤手人,ē-kha-tshiú-lâng,,
493,大跤胴,tuā-kha-tâng,,
494,三跤馬,sann-kha-bé,,
495,三跤貓,sann-kha-niau,,
496,低路,kē-lōo,,
497,大路,tuā-lōo,,
498,小路,sió-lōo,,
499,大道公,Tāi-tō-kong,,
500,三頓,sann tǹg,,
501,山雺,suann-bông,,
502,大鼓,tuā-kóo,,
503,大壽,tuā-siū,,
504,大漢,tuā-hàn,,
505,大箍,tuā-khoo,,
506,大箍呆,tuā-khoo-tai,,
507,上緊,siōng kín,,
508,大腿,tuā-thuí,,
509,大腿骨,tuā-thuí-kut,,
510,上蓋,siōng-kài,,
511,小說,sió-suat,,
512,大銀,tuā-gîn/tuā-gûn,,
513,小銀,sió-gîn/sió-gûn,,
514,亡魂,bông-hûn,,
515,大餅,tuā-piánn,,
516,三層,sam-tsân,,
517,工寮,kang-liâu,,
518,工廠,kang-tshiúnn,,
519,三層肉,sam-tsân-bah,,
520,大廣絃,tuā-kóng-hiân,,
521,小數,sió-sòo,,
522,干樂,kan-lo̍k,,
523,大熱,tuā-jua̍h/tuā-lua̍h,,
524,大範,tuā-pān,,
525,山線,suann-suànn,,
526,三線路,sam-suànn-lōo,,
527,上課,siōng-khò,,
528,工課,khang-khuè,,
529,才調,tsâi-tiāu,,
530,大賣,tuā-bē/tuā-buē,,
531,小賣,sió-bē/sió-buē,,
532,山豬,suann-ti/suann-tu,,
533,下輩,ē-puè,,
534,三輪車,sann-lián-tshia,,
535,下頦,ē-hâi,,
536,大學,tāi-ha̍k,,
537,小學,sió-ha̍k,,
538,弓蕉,king-tsio,,
539,弓蕉油,king-tsio-iû,,
540,山貓,suann-niau,,
541,口頭,kháu-thâu,,
542,山頭,suann-thâu,,
543,工頭,kang-thâu,,
544,上頭仔,siōng-thâu-á,,
545,大頭拇,tuā-thâu-bú,,
546,大頷胿,tuā-ām-kui,,
547,大頭菜,tuā-thâu-tshài,,
